table_name,product_line,column_name,retailer,validation_type,validation_rule,allowed_values,error_message
tv_retail_com,TV,item,common,regex,^[A-Za-z0-9]+$,,item 형식 오류
tv_retail_com,TV,account_name,common,enum,,Amazon|Bestbuy|Walmart,account_name 오류
tv_retail_com,TV,page_type,common,enum,,main|bsr|trend|promotion,page_type 오류
tv_retail_com,TV,product_url,common,starts_with,http,,product_url 형식 오류
tv_retail_com,TV,main_rank,common,range,1~400,,main_rank 범위 오류 (1~400)
tv_retail_com,TV,bsr_rank,common,range,1~100,,bsr_rank 범위 오류 (1~100)
tv_retail_com,TV,final_sku_price,Amazon,allowed_values,,"No featured offers available|Currently unavailable.|Price higher than typical|To see our price, add this item to your cart.|See price in cart",
tv_retail_com,TV,final_sku_price,Bestbuy,allowed_values,,See price in cart,
tv_retail_com,TV,final_sku_price,Walmart,allowed_values,,Not Available|See price in cart,
tv_retail_com,TV,final_sku_price,Walmart,regex,"^\$[\d,]+\.?\d*/(month|undefined)$",,
tv_retail_com,TV,final_sku_price,common,regex,"^\$[\d,]+\.?\d*$",,final_sku_price 형식 오류
tv_retail_com,TV,original_sku_price,Amazon,allowed_values,,"No featured offers available|Currently unavailable.|Price higher than typical|To see our price, add this item to your cart.|See price in cart",
tv_retail_com,TV,original_sku_price,Bestbuy,allowed_values,,See price in cart,
tv_retail_com,TV,original_sku_price,Walmart,allowed_values,,Not Available|See price in cart,
tv_retail_com,TV,original_sku_price,Walmart,regex,"^\$[\d,]+\.?\d*/(month|undefined)$",,
tv_retail_com,TV,original_sku_price,common,regex,"^\$[\d,]+\.?\d*$",,original_sku_price 형식 오류
tv_retail_com,TV,count_of_reviews,common,regex_clean,^\d+$,comma,count_of_reviews 형식 오류
tv_retail_com,TV,star_rating,Amazon,allowed_values,,No customer reviews,
tv_retail_com,TV,star_rating,Bestbuy,allowed_values,,Not yet reviewed,
tv_retail_com,TV,star_rating,Walmart,allowed_values,,No ratings yet,
tv_retail_com,TV,star_rating,common,range_float,0.0~5.0,,star_rating 범위 오류 (0.0~5.0)
tv_retail_com,TV,count_of_star_ratings,Amazon,allowed_values,,No customer reviews,
tv_retail_com,TV,count_of_star_ratings,Bestbuy,allowed_values,,Not yet reviewed,
tv_retail_com,TV,count_of_star_ratings,Walmart,allowed_values,,No ratings yet,
tv_retail_com,TV,count_of_star_ratings,common,regex_clean,^\d+$,comma,count_of_star_ratings 형식 오류
tv_retail_com,TV,detailed_review_content,Amazon,allowed_values,,No customer reviews,
tv_retail_com,TV,detailed_review_content,Amazon,starts_with,1-,,detailed_review_content 형식 오류 (1- 로 시작해야 함)
tv_retail_com,TV,detailed_review_content,Walmart,starts_with,review1-,,detailed_review_content 형식 오류 (review1- 로 시작해야 함)
tv_retail_com,TV,detailed_review_content,Bestbuy,starts_with,review1 - ,,detailed_review_content 형식 오류 (review1 - 로 시작해야 함)
tv_retail_com,TV,number_of_units_purchased_past_month,Amazon,regex_clean,^\d+$,comma_plus_null,number_of_units_purchased_past_month 형식 오류
tv_retail_com,TV,available_quantity_for_purchase,Amazon,allowed_values,,In Stock,
tv_retail_com,TV,available_quantity_for_purchase,Amazon,regex_clean,^\d+$,comma,available_quantity_for_purchase 형식 오류
tv_retail_com,TV,sku_popularity,Amazon,allowed_values,,Amazon's  Choice|Amazon's Choice,
tv_retail_com,TV,sku_popularity,Amazon,allow_empty,,,
tv_retail_com,TV,retailer_membership_discounts,Amazon,starts_with,Prime members,,retailer_membership_discounts 형식 오류
tv_retail_com,TV,rank_1,Amazon,starts_with,#,,rank_1 형식 오류 (# 로 시작해야 함)
