product_line,column_name,Amazon,Bestbuy,Walmart,duplicate_key,skip_missing_check,related_columns
tv,item,Y,Y,Y,Y,N,
tv,account_name,Y,Y,Y,Y,N,
tv,page_type,Y,Y,Y,N,N,
tv,product_url,Y,Y,Y,N,N,
tv,screen_size,Y,Y,Y,N,N,retailer_sku_name
tv,retailer_sku_name,Y,Y,Y,N,N,screen_size
tv,count_of_reviews,Y,Y,Y,N,N,star_rating|count_of_star_ratings
tv,star_rating,Y,Y,Y,N,N,count_of_reviews|count_of_star_ratings
tv,count_of_star_ratings,Y,Y,Y,N,N,count_of_reviews|star_rating
tv,final_sku_price,Y,Y,Y,N,N,original_sku_price|savings
tv,original_sku_price,Y,Y,Y,N,N,final_sku_price|savings
tv,calendar_week,Y,Y,Y,N,N,
tv,crawl_datetime,Y,Y,Y,N,N,
tv,number_of_units_purchased_past_month,Y,N,N,N,N,
tv,shipping_info,Y,N,Y,N,N,
tv,available_quantity_for_purchase,Y,N,Y,N,N,
tv,discount_type,Y,N,Y,N,N,
tv,sku_popularity,Y,N,Y,N,N,
tv,retailer_membership_discounts,N,N,N,N,N,
tv,rank_1,Y,N,N,N,N,rank_2
tv,rank_2,Y,N,N,N,N,rank_1
tv,summarized_review_content,Y,N,N,N,N,detailed_review_content
tv,detailed_review_content,Y,Y,Y,N,N,count_of_reviews|star_rating
tv,main_rank,Y,Y,Y,N,Y,bsr_rank
tv,bsr_rank,Y,Y,Y,N,Y,main_rank
tv,savings,N,Y,Y,N,N,final_sku_price|original_sku_price
tv,offer,N,Y,Y,N,N,savings
tv,pick_up_availability,N,Y,Y,N,N,shipping_availability|delivery_availability
tv,shipping_availability,N,Y,Y,N,N,pick_up_availability|delivery_availability
tv,delivery_availability,N,Y,Y,N,N,pick_up_availability|shipping_availability
tv,estimated_annual_electricity_use,N,Y,N,N,N,
tv,retailer_sku_name_similar,N,Y,Y,N,N,retailer_sku_name
tv,top_mentions,N,Y,N,N,N,count_of_reviews
tv,recommendation_intent,N,Y,N,N,N,star_rating
tv,promotion_type,N,Y,N,N,Y,
tv,sku_status,N,N,Y,N,N,inventory_status
tv,inventory_status,N,N,Y,N,N,sku_status
tv,number_of_ppl_purchased_yesterday,N,N,Y,N,N,number_of_ppl_added_to_carts
tv,number_of_ppl_added_to_carts,N,N,Y,N,N,number_of_ppl_purchased_yesterday
hhp,item,Y,Y,Y,Y,N,
hhp,account_name,Y,Y,Y,Y,N,
hhp,page_type,Y,Y,Y,N,N,
hhp,product_url,Y,Y,Y,N,N,
hhp,retailer_sku_name,Y,Y,Y,N,N,hhp_carrier|hhp_storage|hhp_color
hhp,count_of_reviews,Y,Y,Y,N,N,star_rating|count_of_star_ratings
hhp,star_rating,Y,Y,Y,N,N,count_of_reviews|count_of_star_ratings
hhp,count_of_star_ratings,Y,Y,Y,N,N,count_of_reviews|star_rating
hhp,final_sku_price,Y,Y,Y,N,N,original_sku_price|savings
hhp,original_sku_price,Y,Y,Y,N,N,final_sku_price|savings
hhp,calendar_week,Y,Y,Y,N,N,
hhp,crawl_strdatetime,Y,Y,Y,N,N,
hhp,main_rank,Y,Y,Y,N,Y,bsr_rank
hhp,bsr_rank,Y,Y,Y,N,Y,main_rank
hhp,detailed_review_content,Y,Y,Y,N,N,count_of_reviews|star_rating
hhp,country,Y,Y,N,N,N,
hhp,product,Y,Y,N,N,N,
hhp,hhp_carrier,Y,Y,Y,N,N,hhp_storage|hhp_color
hhp,hhp_storage,Y,Y,Y,N,N,hhp_carrier|hhp_color
hhp,hhp_color,Y,Y,Y,N,N,hhp_carrier|hhp_storage
hhp,number_of_units_purchased_past_month,Y,N,N,N,N,
hhp,shipping_info,Y,N,Y,N,N,
hhp,available_quantity_for_purchase,Y,N,Y,N,N,
hhp,discount_type,Y,N,Y,N,N,
hhp,sku_popularity,Y,N,Y,N,N,
hhp,bundle,Y,N,N,N,N,
hhp,trade_in,Y,Y,N,N,N,final_sku_price
hhp,retailer_membership_discounts,N,N,N,N,N,
hhp,rank_1,Y,N,N,N,N,rank_2
hhp,rank_2,Y,N,N,N,N,rank_1
hhp,summarized_review_content,Y,N,N,N,N,detailed_review_content
hhp,savings,N,Y,Y,N,N,final_sku_price|original_sku_price
hhp,offer,N,Y,Y,N,N,savings
hhp,pick_up_availability,N,Y,Y,N,N,shipping_availability|delivery_availability
hhp,shipping_availability,N,Y,Y,N,N,pick_up_availability|delivery_availability
hhp,delivery_availability,N,N,Y,N,N,pick_up_availability|shipping_availability
hhp,sku_status,N,Y,Y,N,N,inventory_status
hhp,promotion_type,N,Y,N,N,Y,
hhp,retailer_sku_name_similar,N,Y,Y,N,N,retailer_sku_name
hhp,top_mentions,N,Y,N,N,N,count_of_reviews
hhp,recommendation_intent,N,Y,N,N,N,star_rating
hhp,trend_rank,N,Y,N,N,Y,main_rank|bsr_rank
hhp,inventory_status,N,N,Y,N,N,sku_status
hhp,number_of_ppl_purchased_yesterday,N,N,Y,N,N,number_of_ppl_added_to_carts
hhp,number_of_ppl_added_to_carts,N,N,Y,N,N,number_of_ppl_purchased_yesterday
